location,common_name,start_full_height,end_full_height,start_half_height,end_half_height,total_images_full_height,total_images_half_height
759-NE,Moose,2021-07-28T09:12:58Z,2021-07-28T09:15:45Z,2021-07-28T09:13:38Z,2021-07-28T09:15:22Z,30,7
759-NE,White-tailed Deer,2021-07-29T19:45:59Z,2021-07-29T19:46:29Z,2021-07-29T19:46:00Z,2021-07-29T19:46:28Z,3,2
759-NE,Fisher,2021-07-31T22:34:15Z,2021-07-31T22:34:35Z,2021-07-31T22:34:11Z,2021-07-31T22:35:30Z,1,6
759-NE,Black Bear,2021-08-01T14:30:50Z,2021-08-01T14:33:16Z,2021-08-01T14:31:07Z,2021-08-01T14:32:52Z,22,29
759-NE,Black Bear,2021-08-06T19:34:40Z,2021-08-06T19:36:25Z,2021-08-06T19:34:39Z,2021-08-06T19:36:26Z,3,7
759-NE,Black Bear,2021-08-07T10:59:36Z,2021-08-07T11:01:38Z,2021-08-07T10:59:24Z,2021-08-07T11:01:48Z,4,14
759-NE,Black Bear,2021-08-10T19:28:22Z,2021-08-10T19:29:24Z,2021-08-10T19:28:19Z,2021-08-10T19:29:27Z,7,12
759-NE,Canada Lynx,2021-08-11T05:48:50Z,2021-08-11T05:49:35Z,2021-08-11T05:48:51Z,2021-08-11T05:49:37Z,3,6
759-NE,Moose,2021-08-16T17:04:33Z,2021-08-16T17:05:14Z,2021-08-16T17:04:34Z,2021-08-16T17:05:03Z,10,5
759-NE,Canada Lynx,2021-08-17T09:36:31Z,2021-08-17T09:37:13Z,2021-08-17T09:36:32Z,2021-08-17T09:37:15Z,2,6
759-NE,Black Bear,2021-08-20T08:23:35Z,2021-08-20T08:25:25Z,2021-08-20T08:23:29Z,2021-08-20T08:25:24Z,14,13
759-NE,Fisher,2021-08-24T05:57:13Z,2021-08-24T05:58:23Z,2021-08-24T05:56:46Z,2021-08-24T05:57:28Z,2,4
759-NE,Black Bear,2021-08-26T07:19:18Z,2021-08-26T07:20:10Z,2021-08-26T07:19:20Z,2021-08-26T07:20:13Z,9,7
759-NE,Black Bear,2021-08-28T06:34:24Z,2021-08-28T06:35:16Z,2021-08-28T06:34:25Z,2021-08-28T06:35:17Z,12,7
759-NE,Black Bear,2021-09-07T10:04:32Z,2021-09-07T10:05:25Z,2021-09-07T10:04:25Z,2021-09-07T10:05:27Z,8,5
759-NE,Black Bear,2021-09-08T12:57:58Z,2021-09-08T12:59:00Z,2021-09-08T12:57:59Z,2021-09-08T12:59:12Z,4,12
759-NE,Black Bear,2021-09-08T17:04:15Z,2021-09-08T17:09:29Z,2021-09-08T17:04:09Z,2021-09-08T17:09:30Z,8,34
759-NE,Black Bear,2021-09-10T14:46:41Z,2021-09-10T14:47:27Z,2021-09-10T14:46:43Z,2021-09-10T14:47:26Z,4,2
759-NE,Black Bear,2021-09-10T17:50:26Z,2021-09-10T17:51:32Z,2021-09-10T17:50:32Z,2021-09-10T17:51:35Z,12,11
759-NE,Black Bear,2021-09-14T10:21:48Z,2021-09-14T10:23:05Z,2021-09-14T10:21:50Z,2021-09-14T10:23:06Z,11,14
759-NE,Canada Lynx,2021-09-17T13:31:55Z,2021-09-17T13:32:15Z,2021-09-17T13:31:49Z,2021-09-17T13:32:18Z,1,5
759-NE,Black Bear,2021-09-20T09:30:54Z,2021-09-20T09:31:28Z,2021-09-20T09:30:56Z,2021-09-20T09:31:32Z,5,8
759-NE,Black Bear,2021-09-26T17:02:08Z,2021-09-26T17:02:38Z,2021-09-26T17:02:10Z,2021-09-26T17:02:39Z,3,4
759-NE,White-tailed Deer,2021-10-01T22:46:22Z,2021-10-01T22:47:00Z,2021-10-01T22:46:23Z,2021-10-01T22:47:06Z,7,9
759-NE,White-tailed Deer,2021-10-18T00:35:53Z,2021-10-18T00:36:46Z,2021-10-18T00:36:02Z,2021-10-18T00:36:48Z,6,5
759-NE,White-tailed Deer,2021-12-07T01:05:48Z,2021-12-07T01:06:36Z,2021-12-07T01:05:55Z,2021-12-07T01:06:31Z,10,6
759-NE,White-tailed Deer,2021-12-10T01:17:17Z,2021-12-10T01:21:18Z,2021-12-10T01:17:17Z,2021-12-10T01:21:19Z,15,12
759-NE,White-tailed Deer,2021-12-17T00:22:40Z,2021-12-17T00:23:16Z,2021-12-17T00:22:42Z,2021-12-17T00:23:15Z,5,4
759-NE,White-tailed Deer,2021-12-17T09:56:28Z,2021-12-17T09:57:20Z,2021-12-17T09:56:29Z,2021-12-17T09:57:20Z,4,5
759-NE,White-tailed Deer,2021-12-27T04:05:37Z,2021-12-27T04:06:29Z,2021-12-27T04:05:40Z,2021-12-27T04:06:27Z,9,10
759-NE,White-tailed Deer,2021-12-27T07:03:14Z,2021-12-27T07:03:37Z,2021-12-27T07:03:16Z,2021-12-27T07:03:36Z,3,1
759-NE,Coyote,2021-12-27T14:04:45Z,2021-12-27T14:05:05Z,2021-12-27T14:04:31Z,2021-12-27T14:05:07Z,1,5
759-NE,Canada Lynx,2021-12-28T00:47:21Z,2021-12-28T00:48:00Z,2021-12-28T00:47:32Z,2021-12-28T00:47:59Z,3,3
759-NE,White-tailed Deer,2021-12-31T04:52:28Z,2021-12-31T04:53:03Z,2021-12-31T04:52:32Z,2021-12-31T04:52:59Z,8,4
759-NE,White-tailed Deer,2022-01-06T23:43:58Z,2022-01-06T23:44:23Z,2022-01-06T23:43:59Z,2022-01-06T23:44:21Z,3,2
759-NE,Snowshoe Hare,2022-01-08T23:28:04Z,2022-01-08T23:28:25Z,2022-01-08T23:28:10Z,2022-01-08T23:28:30Z,2,1
759-NE,White-tailed Deer,2022-01-20T00:46:35Z,2022-01-20T00:47:02Z,2022-01-20T00:46:36Z,2022-01-20T00:46:58Z,4,2
759-NE,Coyote,2022-03-26T19:30:50Z,2022-03-26T19:31:17Z,2022-03-26T19:30:49Z,2022-03-26T19:31:16Z,4,3
759-NE,Snowshoe Hare,2022-03-27T21:28:46Z,2022-03-27T21:29:06Z,2022-03-27T21:28:41Z,2022-03-27T21:29:03Z,1,2
759-NE,Canada Lynx,2022-04-07T18:43:04Z,2022-04-07T18:43:26Z,2022-04-07T18:43:01Z,2022-04-07T18:43:23Z,2,2
759-NE,Coyote,2022-04-11T20:30:38Z,2022-04-11T20:31:02Z,2022-04-11T20:30:37Z,2022-04-11T20:30:57Z,3,1
759-NE,Coyote,2022-04-11T21:39:39Z,2022-04-11T21:39:59Z,2022-04-11T21:39:26Z,2022-04-11T21:39:55Z,1,3
759-NE,Coyote,2022-04-19T02:21:34Z,2022-04-19T02:22:00Z,2022-04-19T02:21:20Z,2022-04-19T02:21:54Z,2,5
759-NE,Marten,2022-04-20T11:54:22Z,2022-04-20T11:55:52Z,2022-04-20T11:54:20Z,2022-04-20T11:55:50Z,4,7
759-NE,Black Bear,2022-05-04T11:24:15Z,2022-05-04T11:25:46Z,2022-05-04T11:24:13Z,2022-05-04T11:25:52Z,20,25
759-NE,Black Bear,2022-05-04T11:29:58Z,2022-05-04T11:31:55Z,2022-05-04T11:29:50Z,2022-05-04T11:31:53Z,30,31
759-NE,Canada Lynx,2022-05-16T03:20:16Z,2022-05-16T03:20:36Z,2022-05-16T03:20:08Z,2022-05-16T03:20:39Z,1,6
759-NE,"Grouse, Ptarmigan and allies",2022-05-16T10:31:57Z,2022-05-16T10:32:17Z,2022-05-16T10:31:53Z,2022-05-16T10:32:23Z,1,5
759-NE,Fisher,2022-05-21T08:42:04Z,2022-05-21T08:42:46Z,2022-05-21T08:42:03Z,2022-05-21T08:42:47Z,3,9
759-NE,Canada Lynx,2022-05-23T07:32:47Z,2022-05-23T07:33:07Z,2022-05-23T07:32:38Z,2022-05-23T07:32:59Z,1,2
759-NE,Coyote,2022-06-12T11:54:15Z,2022-06-12T11:54:49Z,2022-06-12T11:54:17Z,2022-06-12T11:54:47Z,4,4
759-NE,White-tailed Deer,2022-06-18T10:51:04Z,2022-06-18T10:51:43Z,2022-06-18T10:51:01Z,2022-06-18T10:51:40Z,8,7
759-NE,Black Bear,2022-06-21T10:10:43Z,2022-06-21T10:11:24Z,2022-06-21T10:10:37Z,2022-06-21T10:11:20Z,7,11
759-NE,Black Bear,2022-06-24T13:14:59Z,2022-06-24T13:15:44Z,2022-06-24T13:14:58Z,2022-06-24T13:15:38Z,5,4
759-NE,Black Bear,2022-07-08T19:06:32Z,2022-07-08T19:07:07Z,2022-07-08T19:06:33Z,2022-07-08T19:07:06Z,4,6
759-NE,Black Bear,2022-07-08T19:26:20Z,2022-07-08T19:26:52Z,2022-07-08T19:26:17Z,2022-07-08T19:26:47Z,4,6
759-NE,Black Bear,2022-07-09T09:14:05Z,2022-07-09T09:14:42Z,2022-07-09T09:14:12Z,2022-07-09T09:14:46Z,5,5
759-NE,"Wolves, Coyotes and Allies",2022-07-10T05:24:38Z,2022-07-10T05:24:58Z,2022-07-10T05:24:35Z,2022-07-10T05:24:55Z,1,1
759-SW,Moose,2021-07-28T09:29:44Z,2021-07-28T09:31:55Z,2021-07-28T09:29:55Z,2021-07-28T09:31:50Z,21,16
759-SW,Black Bear,2021-08-13T17:59:25Z,2021-08-13T17:59:45Z,2021-08-13T17:58:00Z,2021-08-13T17:59:57Z,1,4
759-SW,Black Bear,2021-08-20T01:23:14Z,2021-08-20T01:23:34Z,2021-08-20T01:23:19Z,2021-08-20T01:24:18Z,1,7
759-SW,Black Bear,2021-08-20T09:19:01Z,2021-08-20T09:19:24Z,2021-08-20T09:18:37Z,2021-08-20T09:19:58Z,2,14
759-SW,Black Bear,2021-08-21T19:15:24Z,2021-08-21T19:15:44Z,2021-08-21T19:15:05Z,2021-08-21T19:15:52Z,1,6
759-SW,Black Bear,2021-08-21T19:20:18Z,2021-08-21T19:22:28Z,2021-08-21T19:20:21Z,2021-08-21T19:22:43Z,5,12
759-SW,Black Bear,2021-08-23T08:15:29Z,2021-08-23T08:15:49Z,2021-08-23T08:15:29Z,2021-08-23T08:17:14Z,1,9
759-SW,Black Bear,2021-09-02T19:18:37Z,2021-09-02T19:18:57Z,2021-09-02T19:18:36Z,2021-09-02T19:19:00Z,1,2
759-SW,Moose,2021-09-05T08:25:43Z,2021-09-05T08:28:30Z,2021-09-05T08:25:57Z,2021-09-05T08:28:31Z,31,32
759-SW,White-tailed Deer,2021-09-06T04:36:25Z,2021-09-06T04:36:51Z,2021-09-06T04:36:26Z,2021-09-06T04:36:52Z,4,4
759-SW,Black Bear,2021-09-07T10:38:24Z,2021-09-07T10:38:51Z,2021-09-07T10:38:25Z,2021-09-07T10:39:36Z,4,14
759-SW,White-tailed Deer,2021-09-12T00:29:38Z,2021-09-12T00:30:46Z,2021-09-12T00:29:38Z,2021-09-12T00:30:30Z,14,15
759-SW,Black Bear,2021-09-16T10:25:40Z,2021-09-16T10:26:07Z,2021-09-16T10:25:41Z,2021-09-16T10:28:06Z,2,10
759-SW,Black Bear,2021-09-17T10:17:33Z,2021-09-17T10:20:07Z,2021-09-17T10:19:26Z,2021-09-17T10:20:42Z,5,3
759-SW,Black Bear,2021-09-20T19:20:31Z,2021-09-20T19:22:20Z,2021-09-20T19:20:15Z,2021-09-20T19:21:04Z,4,5
759-SW,Black Bear,2021-09-22T01:16:21Z,2021-09-22T01:16:41Z,2021-09-22T01:16:07Z,2021-09-22T01:16:52Z,1,8
759-SW,Black Bear,2021-09-26T23:35:32Z,2021-09-26T23:35:52Z,2021-09-26T23:33:48Z,2021-09-26T23:35:55Z,1,8
759-SW,Snowshoe Hare,2021-10-12T02:55:49Z,2021-10-12T02:56:09Z,2021-10-12T02:55:55Z,2021-10-12T02:56:15Z,1,1
759-SW,Coyote,2021-10-27T15:34:44Z,2021-10-27T15:35:04Z,2021-10-27T15:34:43Z,2021-10-27T15:35:10Z,1,2
759-SW,White-tailed Deer,2021-11-24T10:44:24Z,2021-11-24T10:44:50Z,2021-11-24T10:44:27Z,2021-11-24T10:44:54Z,4,4
759-SW,Coyote,2021-11-29T00:25:24Z,2021-11-29T00:25:44Z,2021-11-29T00:25:19Z,2021-11-29T00:25:47Z,1,4
759-SW,Coyote,2021-11-29T02:51:29Z,2021-11-29T02:51:49Z,2021-11-29T02:51:27Z,2021-11-29T02:51:52Z,1,3
759-SW,Coyote,2021-11-29T09:56:24Z,2021-11-29T09:56:44Z,2021-11-29T09:56:24Z,2021-11-29T09:56:44Z,1,1
