project,location,date_detected,field_of_view,common_name,number_individuals,gap_class,series_num,date_detected_previous,date_detected_next,diff_time_previous,diff_time_next,common_name_previous,diff_sp,location_previous,diff_location,gap_check,gap_class_previous,diff_series,gap_prob,gap_group,pred,diff_time_previous_adj,diff_time_next_adj
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:08Z,WITHIN,Moose,1,NA,0,NA,2021-07-28T09:13:11Z,0,3,NA,NA,NA,NA,NA,,NA,0,Moose,1,0,3
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:11Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:08Z,2021-07-28T09:13:22Z,3,11,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,3,11
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:22Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:11Z,2021-07-28T09:13:30Z,11,8,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,11,8
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:30Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:22Z,2021-07-28T09:13:31Z,8,1,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,8,1
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:31Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:30Z,2021-07-28T09:13:36Z,1,5,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,1,5
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:36Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:31Z,2021-07-28T09:13:44Z,5,8,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,5,8
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:44Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:36Z,2021-07-28T09:13:46Z,8,2,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,8,2
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:46Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:44Z,2021-07-28T09:13:48Z,2,2,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,2,2
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:48Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:46Z,2021-07-28T09:13:51Z,2,3,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,2,3
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:51Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:48Z,2021-07-28T09:13:55Z,3,4,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,3,4
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:13:55Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:51Z,2021-07-28T09:14:06Z,4,11,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,4,11
ABMI Ecosystem Health 2022,759-NE,2021-07-28T09:14:06Z,WITHIN,Moose,1,NA,0,2021-07-28T09:13:55Z,2021-07-28T09:14:21Z,11,15,Moose,FALSE,759-NE,FALSE,0,,0,0,Moose,1,11,15
