location_project,common_name,total_duration
759-NE_ABMI Ecosystem Health 2022,Beaver,0
759-NE_ABMI Ecosystem Health 2022,Bird,0
759-NE_ABMI Ecosystem Health 2022,Black Bear,1379.6763964525499
759-NE_ABMI Ecosystem Health 2022,Canada Lynx,106.67125303628265
759-NE_ABMI Ecosystem Health 2022,Cougar,0
759-NE_ABMI Ecosystem Health 2022,Coyote,73.11441913691904
759-NE_ABMI Ecosystem Health 2022,Deer,0
759-NE_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
759-NE_ABMI Ecosystem Health 2022,Ermine,0
759-NE_ABMI Ecosystem Health 2022,Falcons and allies,0
759-NE_ABMI Ecosystem Health 2022,Fisher,85.01592585667419
759-NE_ABMI Ecosystem Health 2022,Gray Jay,0
759-NE_ABMI Ecosystem Health 2022,Gray Wolf,0
759-NE_ABMI Ecosystem Health 2022,Groundhog,0
759-NE_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",NA
759-NE_ABMI Ecosystem Health 2022,Marten,50.55939492245066
759-NE_ABMI Ecosystem Health 2022,Moose,341.1379059643399
759-NE_ABMI Ecosystem Health 2022,Owls,0
759-NE_ABMI Ecosystem Health 2022,Red Squirrel,6.091452991452991
759-NE_ABMI Ecosystem Health 2022,Snowshoe Hare,47.91063723863259
759-NE_ABMI Ecosystem Health 2022,Spruce Grouse,0
759-NE_ABMI Ecosystem Health 2022,Striped Skunk,0
759-NE_ABMI Ecosystem Health 2022,White-tailed Deer,515.6789201131169
759-NE_ABMI Ecosystem Health 2022,Wolverine,0
759-NE_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",4.266666666666667
759-NE_ABMI Height Comparison 2022,Beaver,0
759-NE_ABMI Height Comparison 2022,Bird,NA
759-NE_ABMI Height Comparison 2022,Black Bear,1523.0671312307054
759-NE_ABMI Height Comparison 2022,Canada Lynx,158.73714817399394
759-NE_ABMI Height Comparison 2022,Cougar,0
759-NE_ABMI Height Comparison 2022,Coyote,98.11441913691904
759-NE_ABMI Height Comparison 2022,Deer,0
759-NE_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
759-NE_ABMI Height Comparison 2022,Ermine,0
759-NE_ABMI Height Comparison 2022,Falcons and allies,0
759-NE_ABMI Height Comparison 2022,Fisher,168.04403013803702
759-NE_ABMI Height Comparison 2022,Gray Jay,NA
759-NE_ABMI Height Comparison 2022,Gray Wolf,0
