Species,Total Detections,High (1m) Only,Low (0.5m) Only,Both Cameras
Black Bear,144,10 (6.9%),39 (27.1%),95 (66%)
Canada Lynx,29,6 (20.7%),16 (55.2%),7 (24.1%)
Cougar,10,0 (0%),4 (40%),6 (60%)
Coyote,76,5 (6.6%),25 (32.9%),46 (60.5%)
Fisher,15,2 (13.3%),10 (66.7%),3 (20%)
Gray Wolf,6,0 (0%),3 (50%),3 (50%)
Marten,17,6 (35.3%),9 (52.9%),2 (11.8%)
Moose,66,10 (15.2%),6 (9.1%),50 (75.8%)
Red Squirrel,48,2 (4.2%),45 (93.8%),1 (2.1%)
Snowshoe Hare,155,21 (13.5%),112 (72.3%),22 (14.2%)
White-tailed Deer,784,194 (24.7%),251 (32%),339 (43.2%)
